,id,last_scraped,source,name,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,calendar_last_scraped,number_of_reviews,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
0,40669,2025-03-18,city scrape,Skyy’s Lounge / Cozyaezz so,175412,Skyy,2010-07-20,"Jersey City, NJ",,,100%,f,,1,"['email', 'phone']",t,f,Neighborhood highlights,40.73724,-74.0531,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Cooking basics"", ""Single level home"", ""Hair dryer"", ""Kitchen"", ""Gym"", ""Free street parking"", ""Dishwasher"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Luggage dropoff allowed"", ""Host greets you"", ""Air conditioning"", ""Dryer"", ""Hangers"", ""Pocket wifi"", ""High chair"", ""Ethernet connection"", ""Dedicated workspace"", ""Hot water"", ""Game console"", ""TV with standard cable"", ""Smoke alarm"", ""Children\u2019s books and toys"", ""First aid kit"", ""Breakfast"", ""Indoor fireplace"", ""Iron"", ""Fire extinguisher"", ""Coffee maker"", ""Long term stays allowed"", ""Refrigerator"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Paid parking on premises"", ""Essentials"", ""Changing table"", ""Crib"", ""Children\u2019s dinnerware"", ""Shampoo""]",$150.00,5,365,5.0,365.0,,t,2025-03-18,22,50,7500.0,2010-09-23,2024-11-01,4.95,4.95,4.95,5.0,4.86,4.9,4.95,f,0.12
1,215768,2025-03-18,city scrape,Minutes to Manhattan & Jersey Shore,846837,Charlaine,2011-07-20,"Jersey City, NJ",within an hour,100%,98%,t,,2,"['email', 'phone']",t,t,Neighborhood highlights,40.71438,-74.0581,Entire home,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Dining table"", ""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Free washer \u2013 In building"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Toaster"", ""HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix"", ""Luggage dropoff allowed"", ""Private entrance"", ""Host greets you"", ""Coffee"", ""Air conditioning"", ""Dryer"", ""Hangers"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Bed linens"", ""Hot water"", ""Wine glasses"", ""Blender"", ""Smoke alarm"", ""Hot water kettle"", ""Freezer"", ""Iron"", ""Backyard"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Shampoo""]",$182.00,3,1000,3.9,1000.0,,t,2025-03-18,207,255,46410.0,2011-09-13,2025-01-02,4.81,4.79,4.91,4.87,4.89,4.38,4.8,f,1.26
2,254245,2025-03-18,city scrape,Minutes to Manhattan and NJ Shore,846837,Charlaine,2011-07-20,"Jersey City, NJ",within an hour,100%,98%,t,,2,"['email', 'phone']",t,t,Neighborhood highlights,40.71162,-74.06179,Entire home,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Dining table"", ""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Free washer \u2013 In unit"", ""HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix"", ""Toaster"", ""Luggage dropoff allowed"", ""Host greets you"", ""Coffee"", ""Air conditioning"", ""Dryer"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Conditioner"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Ceiling fan"", ""Bed linens"", ""Hot water"", ""Wine glasses"", ""Blender"", ""Smoke alarm"", ""Hot water kettle"", ""Cleaning products"", ""Freezer"", ""Iron"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Bathtub"", ""Exterior security cameras on property"", ""Shampoo""]",$161.00,3,365,3.9,365.0,,t,2025-03-18,149,175,28175.0,2011-11-21,2025-01-03,4.76,4.78,4.9,4.91,4.85,4.4,4.74,f,0.92
3,269266,2025-03-18,city scrape,Modern private 2 bedrooms apt minutes to NYC,1410590,Magdalena,2011-11-15,"Jersey City, NJ",within an hour,100%,99%,f,Bergen-Lafayette,10,"['email', 'phone']",t,t,Neighborhood highlights,40.71135,-74.06374,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,3.0,"[""55 inch HDTV"", ""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Toaster"", ""Luggage dropoff allowed"", ""Board games"", ""Private entrance"", ""Self check-in"", ""Air conditioning"", ""Lockbox"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Room-darkening shades"", ""Dedicated workspace"", ""Ceiling fan"", ""Bed linens"", ""Hot water"", ""Portable fans"", ""Wine glasses"", ""Smoke alarm"", ""First aid kit"", ""Hot water kettle"", ""Cleaning products"", ""Freezer"", ""Laundromat nearby"", ""Iron"", ""Safe"", ""Fire extinguisher"", ""Books and reading material"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Bathtub"", ""Baby safety gates"", ""Shampoo""]",$123.00,2,365,3.5,1125.0,,t,2025-03-18,472,255,31365.0,2011-11-25,2025-02-04,4.38,4.64,4.55,4.72,4.67,3.89,4.46,t,2.91
4,271255,2025-03-18,city scrape,Large Room with private bathroom min to Manhattan,1410590,Magdalena,2011-11-15,"Jersey City, NJ",within an hour,100%,99%,f,Bergen-Lafayette,10,"['email', 'phone']",t,t,,40.71161,-74.06327,Private room in townhouse,Private room,5,1.0,1 private bath,1.0,3.0,"[""Dining table"", ""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Clothing storage: wardrobe and dresser"", ""Gas stove"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Toaster"", ""Luggage dropoff allowed"", ""Board games"", ""Private entrance"", ""Self check-in"", ""Air conditioning"", ""Lockbox"", ""Hangers"", ""Dedicated workspace"", ""Bed linens"", ""Hot water"", ""Wine glasses"", ""Smoke alarm"", ""First aid kit"", ""Hot water kettle"", ""Cleaning products"", ""Freezer"", ""Laundromat nearby"", ""Iron"", ""Safe"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Books and reading material"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Essentials"", ""Mosquito net"", ""Shampoo""]",$95.00,2,365,3.3,1125.0,,t,2025-03-18,392,230,21850.0,2012-04-16,2025-03-03,4.45,4.6,4.69,4.7,4.62,3.89,4.43,t,2.49
5,675483,2025-03-18,city scrape,Room & Private Bath~Minutes to NYC!,2259684,Leigh,2012-04-30,"Jersey City, NJ",within an hour,94%,100%,f,,1,"['email', 'phone']",t,t,Neighborhood highlights,40.72315,-74.04179,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,1.0,"[""Body soap"", ""Outdoor dining area"", ""Hair dryer"", ""Kitchen"", ""Clothing storage: closet"", ""Private patio or balcony"", ""Single level home"", ""Smart lock"", ""Free street parking"", ""Carbon monoxide alarm"", ""Microwave"", ""Toaster"", ""Luggage dropoff allowed"", ""Free washer \u2013 In unit"", ""Self check-in"", ""Coffee"", ""Mini fridge"", ""Portable heater"", ""Mini fridge  refrigerator"", ""Hangers"", ""Room-darkening shades"", ""Central heating"", ""Conditioner"", ""Dedicated workspace"", ""Bed linens"", ""Ceiling fan"", ""Hot water"", ""Smoke alarm"", ""Window AC unit"", ""First aid kit"", ""Cleaning products"", ""Hot water kettle"", ""Laundromat nearby"", ""Free dryer \u2013 In unit"", ""Iron"", ""Shower gel"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Fast wifi \u2013 432 Mbps"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Paid parking off premises"", ""Essentials"", ""24 inch TV with Roku, Hulu, Disney+, Amazon Prime Video, Netflix, HBO Max"", ""Outdoor furniture"", ""Shampoo""]",$94.00,3,9,3.0,1125.0,,t,2025-03-18,423,255,23970.0,2012-09-17,2025-03-10,4.77,4.85,4.69,4.96,4.94,4.83,4.76,f,2.78
6,810860,2025-03-18,city scrape,Spacious Studio minutes away from NYC,3530754,Laura,2012-09-10,"Detroit, MI",within a day,100%,80%,t,,2,"['email', 'phone']",t,t,Neighborhood highlights,40.72617,-74.06481,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Cooking basics"", ""Body soap"", ""Pets allowed"", ""Hair dryer"", ""Kitchen"", ""Free street parking"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Self check-in"", ""Hangers"", ""Room-darkening shades"", ""Central heating"", ""Conditioner"", ""Dedicated workspace"", ""Paid dryer \u2013 In building"", ""Bed linens"", ""Hot water"", ""Wine glasses"", ""Blender"", ""Smoke alarm"", ""Hot water kettle"", ""Cleaning products"", ""Freezer"", ""Keypad"", ""Iron"", ""Clothing storage"", ""Backyard"", ""Central air conditioning"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials""]",$97.00,28,366,28.0,366.0,,t,2025-03-18,8,112,10864.0,2019-03-30,2024-12-19,4.88,4.88,4.88,4.75,5.0,4.63,4.63,f,0.11
7,818075,2025-03-18,city scrape,Lovely Apartment - Easy access to NYC,4296829,Harriet,2012-12-01,"Jersey City, NJ",within a few hours,100%,80%,t,,1,"['email', 'phone']",t,t,Neighborhood highlights,40.74086,-74.04921,Entire guest suite,Entire home/apt,3,1.0,1 bath,2.0,2.0,"[""Cooking basics"", ""Body soap"", ""Hair dryer"", ""Kitchen"", ""Standalone high chair"", ""HDTV with HBO Max, Netflix, standard cable"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Toaster"", ""Luggage dropoff allowed"", ""Board games"", ""Private entrance"", ""Coffee"", ""City skyline view"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Conditioner"", ""Dedicated workspace"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Ceiling fan"", ""Hot water"", ""Portable fans"", ""Wine glasses"", ""Smoke alarm"", ""Window AC unit"", ""Children\u2019s books and toys"", ""Cleaning products"", ""Hot water kettle"", ""Baking sheet"", ""Babysitter recommendations"", ""Freezer"", ""Laundromat nearby"", ""Iron"", ""Shower gel"", ""Fire extinguisher"", ""Books and reading material"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Children\u2019s dinnerware"", ""Shampoo""]",$116.00,3,180,3.0,180.0,,t,2025-03-18,208,255,29580.0,2013-02-10,2025-02-23,4.95,4.97,4.97,4.99,4.97,4.69,4.93,f,1.41
8,938292,2025-03-18,city scrape,New apt in downtown JC minutes away from Manhattan,1450378,Alfredo,2011-11-28,"New York, NY",within a few hours,100%,86%,f,,5,"['email', 'phone']",t,t,Neighborhood highlights,40.72371,-74.04931,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,3.0,"[""Cooking basics"", ""Hair dryer"", ""Kitchen"", ""Smart lock"", ""Free street parking"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Oven"", ""Luggage dropoff allowed"", ""Self check-in"", ""Air conditioning"", ""Hangers"", ""Pocket wifi"", ""Dedicated workspace"", ""Bed linens"", ""Hot water"", ""TV with standard cable"", ""Smoke alarm"", ""Iron"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Essentials"", ""Exterior security cameras on property"", ""Shampoo""]",$98.00,29,1125,29.0,1125.0,,t,2025-03-18,21,58,5684.0,2016-07-29,2024-06-30,4.71,4.76,4.48,4.81,4.95,4.9,4.48,f,0.2
9,946048,2025-03-18,city scrape,Newly renovated small studio.  1 Month or more,1450378,Alfredo,2011-11-28,"New York, NY",within a few hours,100%,86%,f,,5,"['email', 'phone']",t,t,Neighborhood highlights,40.72398,-74.05023,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Dining table"", ""Body soap"", ""Hair dryer"", ""Smart lock"", ""Clothing storage: closet"", ""Rice maker"", ""32 inch HDTV with Netflix, Roku"", ""Carbon monoxide alarm"", ""Wifi"", ""Microwave"", ""Toaster"", ""Private entrance"", ""Self check-in"", ""Air conditioning"", ""Dryer"", ""Mini fridge"", ""Hangers"", ""Room-darkening shades"", ""Conditioner"", ""Dedicated workspace"", ""Bed linens"", ""Portable fans"", ""Hot water"", ""Wine glasses"", ""Smoke alarm"", ""Hot water kettle"", ""Cleaning products"", ""Kitchenette"", ""Private hot tub"", ""Iron"", ""Shower gel"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Coffee maker"", ""Long term stays allowed"", ""Heating"", ""Dishes and silverware"", ""Essentials"", ""Exterior security cameras on property"", ""Shampoo""]",$76.00,29,1125,28.9,1125.0,,t,2025-03-18,25,116,8816.0,2016-09-25,2024-12-23,4.84,4.76,4.76,4.96,4.92,4.84,4.83,f,0.24
